page,metric,value
/,mean_load_ms,81.4
/,median_load_ms,81
/,p95_load_ms,87.4
/,p99_load_ms,88.7
/,min_load_ms,76
/,max_load_ms,89
/,mean_dom_ready_ms,53.4
/,median_dom_ready_ms,52
/,avg_requests,13
/,avg_transfer_kb,680.6
/Store/Details/1,mean_load_ms,92.2
/Store/Details/1,median_load_ms,85
/Store/Details/1,p95_load_ms,117.8
/Store/Details/1,p99_load_ms,123.6
/Store/Details/1,min_load_ms,80
/Store/Details/1,max_load_ms,125
/Store/Details/1,mean_dom_ready_ms,65.0
/Store/Details/1,median_dom_ready_ms,60
/Store/Details/1,avg_requests,12
/Store/Details/1,avg_transfer_kb,425.6
/Checkout/AddressAndPayment,mean_load_ms,90.2
/Checkout/AddressAndPayment,median_load_ms,90
/Checkout/AddressAndPayment,p95_load_ms,95.0
/Checkout/AddressAndPayment,p99_load_ms,95.8
/Checkout/AddressAndPayment,min_load_ms,85
/Checkout/AddressAndPayment,max_load_ms,96
/Checkout/AddressAndPayment,mean_dom_ready_ms,59.6
/Checkout/AddressAndPayment,median_dom_ready_ms,58
/Checkout/AddressAndPayment,avg_requests,13
/Checkout/AddressAndPayment,avg_transfer_kb,450
Overall,mean_load_ms,87.9
Overall,median_load_ms,85
Overall,p95_load_ms,104.7
Overall,p99_load_ms,119.6
Overall,mean_dom_ready_ms,59.3
Overall,median_dom_ready_ms,58
Overall,avg_requests,12.7
Overall,avg_transfer_kb,518.7
